Name,Price,Rating,Processor,Memory,OS,Storage,Display,Inclusion
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,104990.0,4.3,Intel Core i7 Processor (13th Gen),24 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,67990.0,4.3,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,67990.0,4.4,AMD Ryzen 5 Quad Core Processor,12 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1Yr Warranty and 1 Yr Accidental Damage Protection
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,68990.0,4.4,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,65490.0,4.4,AMD Ryzen 5 Quad Core Processor,24 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1Yr Warranty and 1 Yr Accidental Damage Protection
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,72890.0,4.3,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1Yr Warranty and 1 Yr Accidental Damage Protection
Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,94990.0,4.4,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display,1 Year International Travelers Warranty (ITW)
"ASUS Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB ...",64990.0,4.2,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display,1 Year Onsite Warranty
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,103690.0,4.3,Intel Core i7 Processor (13th Gen),24 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty
ASUS TUF Gaming F15 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,75990.0,4.4,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,62990.0,4.2,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,68990.0,4.4,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Grap...,124990.0,4.3,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display,1 Year Carry-in Warranty
"ASUS TUF Gaming F15, 90WHrs Battery Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/...",109990.0,4.1,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty
Lenovo Legion Go AMD Ryzen Z1 Extreme - (16 GB/512 GB SSD/Windows 11 Home) 8APU1 Handheld Gaming PC,70190.0,4.7,AMD Ryzen Z1 Extreme Processor,16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,22.35 cm (8.8 inch) Touchscreen Display,1 Year Carry in + 1 Year Accidental Damage Protection
Lenovo Legion 5 Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,122690.0,4.6,Intel Core i7 Processor (13th Gen),24 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty
Acer Nitro V AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,71990.0,4.3,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year International Travelers Warranty (ITW)
ASUS ROG Strix G16 with 90WHr Battery Intel HX-Series Intel Core i7 13th Gen 13650HX - (16 GB/1 TB SSD...,105990.0,4.4,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display,1 Year Onsite Warranty
